label,folder,L,T,epoch,pair,zscore_mse,gauge_mse,ratio
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,f_2->f_3,0.0354,0.0142,0.401
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,f_3->f_4,0.0015,0.0001,0.046
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,f_4->f_5,0.0,0.0,0.0
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,f_1->f_2,0.5397,0.3491,0.647
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,f_2->f_3,0.0588,0.0124,0.211
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,f_3->f_4,0.0115,0.0,0.002
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,f_4->f_5,0.0002,0.0,0.0
"T = 2.4  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,f_1->f_2,1.7008,1.9272,1.133
"T = 2.4  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,f_2->f_3,0.5561,0.3409,0.613
"T = 2.4  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,f_3->f_4,0.144,0.0872,0.605
"T = 2.4  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,f_4->f_5,0.0058,0.0052,0.895
L=64 baseline_b16,data/64Ising_T2.269_hsBignet_baseline_b16,64,2.26919,19800,f_1->f_2,0.6141,0.4232,0.689
L=64 baseline_b16,data/64Ising_T2.269_hsBignet_baseline_b16,64,2.26919,19800,f_2->f_3,0.7399,0.375,0.507
L=64 baseline_b16,data/64Ising_T2.269_hsBignet_baseline_b16,64,2.26919,19800,f_3->f_4,0.7149,0.3901,0.546
L=64 baseline_b16,data/64Ising_T2.269_hsBignet_baseline_b16,64,2.26919,19800,f_4->f_5,0.7818,0.4882,0.624
L=64 baseline_b16,data/64Ising_T2.269_hsBignet_baseline_b16,64,2.26919,19800,f_5->f_6,0.0396,0.0173,0.437
L=64 i1_df4.0_b16 (Student-t),data/64Ising_T2.269_hsBignet_i1_df4.0_b16,64,2.26919,19800,f_1->f_2,0.5724,0.5591,0.977
L=64 i1_df4.0_b16 (Student-t),data/64Ising_T2.269_hsBignet_i1_df4.0_b16,64,2.26919,19800,f_2->f_3,0.6206,0.5228,0.843
L=64 i1_df4.0_b16 (Student-t),data/64Ising_T2.269_hsBignet_i1_df4.0_b16,64,2.26919,19800,f_3->f_4,0.266,0.0589,0.222
L=64 i1_df4.0_b16 (Student-t),data/64Ising_T2.269_hsBignet_i1_df4.0_b16,64,2.26919,19800,f_4->f_5,0.1642,0.0344,0.209
L=64 i1_df4.0_b16 (Student-t),data/64Ising_T2.269_hsBignet_i1_df4.0_b16,64,2.26919,19800,f_5->f_6,0.0011,0.0005,0.475
L=64 i2_stride16h32_b16 (+I.2),data/64Ising_T2.269_hsBignet_i2_stride16h32_b16,64,2.26919,19800,f_1->f_2,0.4334,0.3246,0.749
L=64 i2_stride16h32_b16 (+I.2),data/64Ising_T2.269_hsBignet_i2_stride16h32_b16,64,2.26919,19800,f_2->f_3,1.5428,1.9409,1.258
L=64 i2_stride16h32_b16 (+I.2),data/64Ising_T2.269_hsBignet_i2_stride16h32_b16,64,2.26919,19800,f_3->f_4,0.4257,0.2759,0.648
L=64 i2_stride16h32_b16 (+I.2),data/64Ising_T2.269_hsBignet_i2_stride16h32_b16,64,2.26919,19800,f_4->f_5,0.1321,0.0846,0.64
L=64 i2_stride16h32_b16 (+I.2),data/64Ising_T2.269_hsBignet_i2_stride16h32_b16,64,2.26919,19800,f_5->f_6,0.0018,0.0011,0.626
L=64 i2_stride4h32_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride4h32_b16,64,2.26919,19800,f_1->f_2,0.4782,0.4154,0.869
L=64 i2_stride4h32_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride4h32_b16,64,2.26919,19800,f_2->f_3,1.4576,1.9497,1.338
L=64 i2_stride4h32_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride4h32_b16,64,2.26919,19800,f_3->f_4,0.5535,0.3188,0.576
L=64 i2_stride4h32_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride4h32_b16,64,2.26919,19800,f_4->f_5,0.1426,0.1026,0.72
L=64 i2_stride4h32_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride4h32_b16,64,2.26919,19800,f_5->f_6,0.0016,0.0007,0.451
L=64 i2_stride4h64_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride4h64_b16,64,2.26919,19800,f_1->f_2,0.4815,0.391,0.812
L=64 i2_stride4h64_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride4h64_b16,64,2.26919,19800,f_2->f_3,0.264,0.1117,0.423
L=64 i2_stride4h64_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride4h64_b16,64,2.26919,19800,f_3->f_4,0.4573,0.1499,0.328
L=64 i2_stride4h64_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride4h64_b16,64,2.26919,19800,f_4->f_5,0.1037,0.0646,0.624
L=64 i2_stride4h64_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride4h64_b16,64,2.26919,19800,f_5->f_6,0.0008,0.0005,0.609
L=64 i2_stride8h32_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride8h32_b16,64,2.26919,19800,f_1->f_2,0.9001,0.4434,0.493
L=64 i2_stride8h32_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride8h32_b16,64,2.26919,19800,f_2->f_3,0.6479,0.4554,0.703
L=64 i2_stride8h32_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride8h32_b16,64,2.26919,19800,f_3->f_4,0.6594,0.348,0.528
L=64 i2_stride8h32_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride8h32_b16,64,2.26919,19800,f_4->f_5,0.0882,0.0341,0.386
L=64 i2_stride8h32_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride8h32_b16,64,2.26919,19800,f_5->f_6,0.0008,0.0004,0.573
