model,t,section,scale,size,metric,value
meraFM_L64_h128_ep50,0.9,A_marginal,2,32,kurt,-1.5198446285039615
meraFM_L64_h128_ep50,0.9,A_marginal,2,32,ks,0.14233312420493271
meraFM_L64_h128_ep50,0.9,A_marginal,3,16,skew,0.06587771997447694
meraFM_L64_h128_ep50,0.9,A_marginal,3,16,kurt,-1.298034200614181
meraFM_L64_h128_ep50,0.9,A_marginal,3,16,ks,0.10352863421766406
meraFM_L64_h128_ep50,0.9,A_marginal,4,8,skew,-0.10420339029664918
meraFM_L64_h128_ep50,0.9,A_marginal,4,8,kurt,-1.0594240360894156
meraFM_L64_h128_ep50,0.9,A_marginal,4,8,ks,0.08303794340874515
meraFM_L64_h128_ep50,0.9,A_marginal,5,4,skew,0.11226317206461377
meraFM_L64_h128_ep50,0.9,A_marginal,5,4,kurt,0.2485223275452766
meraFM_L64_h128_ep50,0.9,A_marginal,5,4,ks,0.015372193107052345
meraFM_L64_h128_ep50,0.9,A_marginal,6,2,skew,0.1633455579591701
meraFM_L64_h128_ep50,0.9,A_marginal,6,2,kurt,0.18433383590322716
meraFM_L64_h128_ep50,0.9,A_marginal,6,2,ks,0.022866895152821476
meraFM_L64_h128_ep50,0.9,B_adjacent,1->2,64,mmd2,0.0001900196075439453
meraFM_L64_h128_ep50,0.9,B_adjacent,1->2,64,w1,0.0627550467313969
meraFM_L64_h128_ep50,0.9,B_adjacent,2->3,32,mmd2,0.001208662986755371
meraFM_L64_h128_ep50,0.9,B_adjacent,2->3,32,w1,0.08715520547358216
meraFM_L64_h128_ep50,0.9,B_adjacent,3->4,16,mmd2,0.0009971857070922852
meraFM_L64_h128_ep50,0.9,B_adjacent,3->4,16,w1,0.07803479534776217
meraFM_L64_h128_ep50,0.9,B_adjacent,4->5,8,mmd2,0.008236169815063477
meraFM_L64_h128_ep50,0.9,B_adjacent,4->5,8,w1,0.16714067629437218
meraFM_L64_h128_ep50,0.9,B_adjacent,5->6,4,mmd2,-0.0006158351898193359
meraFM_L64_h128_ep50,0.9,B_adjacent,5->6,4,w1,0.03199338515092981
meraFM_L64_h128_ep50,1.0,A_marginal,1,64,skew,-0.00611065950890689
meraFM_L64_h128_ep50,1.0,A_marginal,1,64,kurt,-1.4074601082072637
meraFM_L64_h128_ep50,1.0,A_marginal,1,64,ks,0.11245193224140321
meraFM_L64_h128_ep50,1.0,A_marginal,2,32,skew,0.060378989177587175
meraFM_L64_h128_ep50,1.0,A_marginal,2,32,kurt,-1.6747523543733762
meraFM_L64_h128_ep50,1.0,A_marginal,2,32,ks,0.15592313932574525
meraFM_L64_h128_ep50,1.0,A_marginal,3,16,skew,-0.20481901372721228
meraFM_L64_h128_ep50,1.0,A_marginal,3,16,kurt,0.2901093262500818
meraFM_L64_h128_ep50,1.0,A_marginal,3,16,ks,0.013621506465081756
meraFM_L64_h128_ep50,1.0,A_marginal,4,8,skew,0.04055675274246127
meraFM_L64_h128_ep50,1.0,A_marginal,4,8,kurt,-0.8350413526949603
meraFM_L64_h128_ep50,1.0,A_marginal,4,8,ks,0.04988939463760639
meraFM_L64_h128_ep50,1.0,A_marginal,5,4,skew,-0.037071047825794796
meraFM_L64_h128_ep50,1.0,A_marginal,5,4,kurt,-0.0350840732869524
meraFM_L64_h128_ep50,1.0,A_marginal,5,4,ks,0.009007114817659145
meraFM_L64_h128_ep50,1.0,A_marginal,6,2,skew,0.012202709660892949
meraFM_L64_h128_ep50,1.0,A_marginal,6,2,kurt,0.0059616542252860505
meraFM_L64_h128_ep50,1.0,A_marginal,6,2,ks,0.01418518003664293
meraFM_L64_h128_ep50,1.0,B_adjacent,1->2,64,mmd2,0.001002669334411621
meraFM_L64_h128_ep50,1.0,B_adjacent,1->2,64,w1,0.1254715609895013
meraFM_L64_h128_ep50,1.0,B_adjacent,2->3,32,mmd2,0.02665245532989502
meraFM_L64_h128_ep50,1.0,B_adjacent,2->3,32,w1,0.31340064375619126
meraFM_L64_h128_ep50,1.0,B_adjacent,3->4,16,mmd2,0.0032067298889160156
meraFM_L64_h128_ep50,1.0,B_adjacent,3->4,16,w1,0.10735622453080008
meraFM_L64_h128_ep50,1.0,B_adjacent,4->5,8,mmd2,0.002377629280090332
meraFM_L64_h128_ep50,1.0,B_adjacent,4->5,8,w1,0.09281529554943818
meraFM_L64_h128_ep50,1.0,B_adjacent,5->6,4,mmd2,0.001435995101928711
meraFM_L64_h128_ep50,1.0,B_adjacent,5->6,4,w1,0.09729802736367371
