label,folder,L,T,epoch,scale_s,L_s,source,metric,value
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,4,2,cross_gauge,v5_gauge_w1,0.005213175554240476
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,4,2,cross_gauge,v5_gauge_rms_g,nan
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,5,1,cross_gauge,v5_gauge_ks,0.0085
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,5,1,cross_gauge,v5_gauge_w1,0.013952065969002416
"T = 2.40  (high T, disorder)",data/32Ising_T2.4_hs_dataDriven,32,2.4,17000,5,1,cross_gauge,v5_gauge_rms_g,nan
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,0,32,cross_gauge,v5_gauge_ks,0.004729999999999901
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,0,32,cross_gauge,v5_gauge_w1,0.013339982325982411
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,0,32,cross_gauge,v5_gauge_rms_g,0.0
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,1,16,cross_gauge,v5_gauge_ks,0.0021400000000000308
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,1,16,cross_gauge,v5_gauge_w1,0.01951053144289171
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,1,16,cross_gauge,v5_gauge_rms_g,0.04122540354728699
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,2,8,cross_gauge,v5_gauge_ks,0.0017812500000000675
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,2,8,cross_gauge,v5_gauge_w1,0.012808403782712793
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,2,8,cross_gauge,v5_gauge_rms_g,0.022366827353835106
